year, month, carrier, carrier_name                           , airport, airport_name                                                            , arr_flights, arr_del15, carrier_ct, weather_ct, nas_ct , security_ct, late_aircraft_ct, arr_cancelled, arr_diverted, arr_delay, carrier_delay, weather_delay, nas_delay, security_delay, late_aircraft_delay
2025,     4, G4     , Allegiant Air                          , SCK    , "Stockton, CA: Stockton Metro"                                          ,        32.0,       6.0,       0.73,       0.59,    1.96,        0.0 ,             2.72,           0.0,          0.0,     169.0,          46.0,          10.0,      50.0,            0.0,                63.0
2025,     4, G4     , Allegiant Air                          , SDF    , "Louisville, KY: Louisville Muhammad Ali International"                 ,        50.0,      20.0,       2.9 ,       0.36,    5.53,        1.0 ,            10.21,           0.0,          0.0,    1382.0,          93.0,           8.0,     454.0,          193.0,               634.0
2025,     4, G4     , Allegiant Air                          , SFB    , "Sanford, FL: Orlando Sanford International"                            ,       885.0,     285.0,      54.15,      13.07,   46.11,        0.21,           171.47,           1.0,          0.0,   20506.0,        5460.0,        1297.0,    1980.0,            8.0,             11761.0
2025,     4, G4     , Allegiant Air                          , SGF    , "Springfield, MO: Springfield-Branson National"                         ,        67.0,      11.0,       2.58,       0.46,    2.1 ,        0.0 ,             5.86,           0.0,          3.0,     718.0,         217.0,          43.0,     122.0,            0.0,               336.0
2025,     4, G4     , Allegiant Air                          , SHV    , "Shreveport, LA: Shreveport Regional"                                   ,         8.0,       0.0,       0.0 ,       0.0 ,    0.0 ,        0.0 ,             0.0 ,           0.0,          0.0,       0.0,           0.0,           0.0,       0.0,            0.0,                 0.0
2025,     4, G4     , Allegiant Air                          , SMX    , "Santa Maria, CA: Santa Maria Public/Capt. G. Allan Hancock Field"      ,         8.0,       3.0,       0.85,       0.15,    1.79,        0.0 ,             0.21,           0.0,          0.0,     210.0,          89.0,          10.0,      97.0,            0.0,                14.0
2025,     4, G4     , Allegiant Air                          , SNA    , "Santa Ana, CA: John Wayne Airport-Orange County"                       ,        84.0,      21.0,       5.6 ,       1.0 ,    2.94,        0.0 ,            11.46,           1.0,          0.0,    3704.0,        2467.0,          90.0,     263.0,            0.0,               884.0
2025,     4, G4     , Allegiant Air                          , SPI    , "Springfield, IL: Abraham Lincoln Capital"                              ,         9.0,       1.0,       1.0 ,       0.0 ,    0.0 ,        0.0 ,             0.0 ,           0.0,          0.0,      96.0,          96.0,           0.0,       0.0,            0.0,                 0.0
2025,     4, G4     , Allegiant Air                          , SRQ    , "Sarasota/Bradenton, FL: Sarasota/Bradenton International"              ,       385.0,      47.0,      12.07,       3.88,    8.27,        0.0 ,            22.77,           0.0,          0.0,    5050.0,        1207.0,         988.0,     449.0,            0.0,              2406.0
2025,     4, G4     , Allegiant Air                          , STC    , "St. Cloud, MN: St. Cloud Regional"                                     ,        18.0,       2.0,       1.83,       0.0 ,    0.1 ,        0.0 ,             0.07,           0.0,          0.0,      67.0,          61.0,           0.0,       4.0,            0.0,                 2.0
2025,     4, G4     , Allegiant Air                          , SWF    , "Newburgh/Poughkeepsie, NY: New York Stewart International"             ,        50.0,       8.0,       2.77,       1.63,    1.96,        0.0 ,             1.64,           0.0,          0.0,     345.0,         125.0,          43.0,      63.0,            0.0,               114.0
2025,     4, G4     , Allegiant Air                          , SYR    , "Syracuse, NY: Syracuse Hancock International"                          ,        92.0,      14.0,       6.24,       0.86,    3.39,        0.0 ,             3.51,           0.0,          0.0,     622.0,         338.0,          24.0,     110.0,            0.0,               150.0
2025,     4, G4     , Allegiant Air                          , TOL    , "Toledo, OH: Eugene F Kranz Toledo Express"                             ,        52.0,      22.0,       7.98,       1.13,    7.4 ,        0.0 ,             5.49,           0.0,          0.0,    1386.0,         591.0,         135.0,     252.0,            0.0,               408.0
2025,     4, G4     , Allegiant Air                          , TRI    , "Bristol/Johnson City/Kingsport, TN: Tri Cities"                        ,        16.0,      12.0,       4.79,       0.74,    2.89,        0.0 ,             3.58,           0.0,          0.0,    1212.0,         940.0,          58.0,      93.0,            0.0,               121.0
2025,     4, G4     , Allegiant Air                          , TUL    , "Tulsa, OK: Tulsa International"                                        ,        24.0,       4.0,       1.0 ,       1.0 ,    1.0 ,        0.0 ,             1.0 ,           0.0,          0.0,     103.0,          28.0,          19.0,      16.0,            0.0,                40.0
